id;start_date;end_date;language
1;2021-02-10T17:02:06;2021-02-10T14:52:21;SPANISH
2;2021-02-09T21:52:17;2021-02-10T16:56:42;SPANISH
3;2021-02-10T12:47:36;2021-02-09T23:21:45;FRENCH
4;2021-02-10T04:05:07;2021-02-10T15:36:33;FRENCH
5;2021-02-10T13:35:25;2021-02-10T18:22:24;FRENCH
6;2021-02-10T07:27:46;2021-02-10T19:36:00;FRENCH
7;2021-02-10T09:13:06;2021-02-10T03:03:57;FRENCH
8;2021-02-10T08:09:19;2021-02-10T18:25:27;SPANISH
9;2021-02-10T06:50:28;2021-02-10T03:31:51;SPANISH
10;2021-02-10T15:02:32;2021-02-10T01:37:02;SPANISH
